United States of America,France ,India,China,South Africa,Nigeria,Brazil
Mr.Beast - 443,Tibo InShape - 26.9,T-Series - 304,"
李子柒 Liziqi - 28.4",Ryan HD - 10.3,MarkAngelComedy - 9.54,Canal KondZilla  - 67.9
Cocomelon - 198,SQUEEZIE - 19.8,SET India - 187,iPanda - 7.17,Superherointraining - 8.87,Agbaps Shorts - 8.08,Bispo Bruno Leonardo - 63.1
Vlad and Niki - 146,LOFI GIRL - 15.2,Zee Music Company - 121M,Xiaomi - 6.29,Noel Deyzel - 7.63,Rema - 5.19,Lucas NETO - 53.6
Kids Diana Show - 131,GIMS - 14.1,Goldmines - 108 M,"
熊出没 Boonie Bears - 4.5",Wian - 6.92,Ckay - 4.26,Maria Clara & JP - 49.3
Stokes Twins - 131,Mayamystic - 11.8,Sony SAB - 104M,WayV - 3.62,Latest Sightings - 6.25,SamSpedy - 4.24,Felipe Neto - 47.6
